Age,Income,LoanAmount,CreditScore,Approved
71,83594.09,61661.73,313,0
59,69963.37,179586.67,717,0
21,42417.28,26260.67,736,1
71,24158.67,55972.58,676,0
46,66019.18,160741.22,319,0
35,17334.19,23947.3,369,0
43,48497.26,124248.5,510,0
61,36006.5,64420.98,400,0
51,26123.2,43318.38,431,0
27,88822.96,54493.62,680,1
53,48018.7,58826.41,431,0
31,53475.73,151203.96,319,0
48,77183.11,114197.04,835,1
65,48805.81,91108.32,526,0
32,61433.19,112426.08,453,0
25,73712.36,145661.36,768,1
31,65080.35,42518.78,704,1
40,56556.2,79486.38,501,0
74,119557.94,275918.3,337,0
57,91215.97,91343.73,487,0
38,46963.14,47383.27,356,0
33,31105.92,16337.66,319,0
62,67461.46,107513.66,572,0
35,54607.71,147814.11,418,0
64,115208.39,72552.75,815,1
70,80317.8,78534.48,520,0
41,71833.21,91602.53,825,1
43,49339.28,114926.57,814,0
42,31639.15,66492.49,635,0
62,44401.06,68371.4,354,0
58,62218.9,149180.53,799,0
46,20644.62,41786.31,835,0
32,91204.27,249909.0,461,0
62,137794.95,350697.37,458,0
18,18537.12,20984.65,487,0
42,24340.39,28687.49,359,0
24,54985.85,44725.01,618,1
26,36633.18,49176.81,510,0
41,55851.59,167491.08,705,0
18,47295.15,71622.73,408,0
61,29380.63,30885.53,375,0
25,93358.59,224640.11,841,0
41,61837.07,114780.58,613,0
28,37053.9,32385.25,416,0
68,104038.11,151034.64,318,0
34,38017.32,58401.22,731,1
25,26346.21,62824.5,649,0
52,53731.57,29642.55,482,1
52,58488.11,68580.18,412,0
50,63956.5,114737.37,482,0
22,69437.03,81388.31,780,1
59,63453.48,131417.56,445,0
56,62177.4,105991.86,412,0
75,36795.22,51670.62,775,1
58,34878.57,100206.88,602,0
45,71053.08,147818.74,417,0
24,55366.4,45669.17,460,0
26,73874.49,140378.47,700,0
25,20876.12,51184.7,497,0
29,38162.43,86675.44,559,0
51,127199.18,118323.61,346,0
50,64619.18,189402.05,698,0
65,56827.48,92176.11,377,0
72,69840.0,62685.77,423,0
40,147890.18,140568.05,374,1
41,133122.46,99254.44,436,0
54,22253.17,55828.64,699,0
52,26762.3,21545.69,804,1
61,21879.27,17783.75,799,1
57,33740.23,88607.87,437,0
39,50385.55,68600.44,349,0
44,55326.52,31931.41,553,1
52,22805.58,14361.55,725,1
144,19270.37,16484.38,846,1
52,33443.22,34563.01,601,1
54,77504.06,167630.86,648,0
64,84557.03,75536.12,348,0
31,115025.88,91697.02,373,0
20,48234.74,116332.45,560,0
18,74167.16,161509.24,655,0
22,81222.49,129006.54,559,0
43,38237.44,71629.22,594,0
72,59511.36,76172.16,612,0
31,68142.24,116267.77,481,0
56,31114.25,54968.97,663,0
44,111418.44,163572.65,487,0
26,48078.67,133006.29,842,0
32,51201.17,27656.55,847,1
32,30525.86,74954.04,707,0
43,33199.39,26923.28,713,1
59,16346.07,40764.94,641,0
30,50391.51,102787.58,519,0
68,171586.81,447531.9,462,0
49,29457.1,21909.77,519,0
56,217096.77,411930.6,569,0
66,99421.7,174258.36,699,0
69,38684.94,87640.07,481,0
49,49693.65,91223.94,504,0
21,45818.8,84848.93,527,0
47,115045.39,181080.27,549,0
54,63481.76,80754.26,740,1
40,88520.29,150985.59,832,1
56,58634.93,46686.95,495,0
62,46351.72,134595.36,818,0
32,57711.5,131930.03,369,0
60,39995.73,115234.4,698,0
46,23715.83,25300.48,502,0
53,73632.68,198686.94,447,0
30,23142.31,58364.32,771,0
49,42855.23,93976.42,498,0
24,39342.78,81147.36,725,0
68,67621.21,87324.28,791,1
39,107189.36,272371.06,441,0
45,89543.99,157041.24,612,0
19,68611.3,46465.56,464,0
59,35777.13,45871.93,613,0
62,44723.99,126937.55,320,0
74,41579.53,109216.97,381,0
70,38748.96,114494.05,430,0
23,40085.68,82976.69,604,0
45,39554.35,44252.43,670,1
45,38688.08,35091.55,683,1
61,78900.39,76319.26,744,1
61,28931.36,15897.47,724,1
37,34039.03,50265.61,460,0
47,22209.97,21733.99,477,0
28,99482.94,152123.2,789,1
75,32917.13,93401.9,626,0
72,68212.81,107527.29,588,0
45,62171.96,167551.03,653,0
42,94790.01,190884.51,327,0
56,44134.26,49334.55,342,0
50,30522.83,42415.65,722,1
18,22519.23,15984.13,476,0
74,12181.6,16246.07,828,1
44,53139.54,116580.31,793,0
74,72239.07,49142.63,497,1
69,62059.2,62897.22,816,1
30,22813.73,33162.1,813,0
58,82405.96,243519.82,321,0
20,34575.2,85129.49,411,0
56,31149.34,72693.73,356,0
23,34189.84,27026.3,365,0
25,50980.8,125029.9,397,0
44,23333.59,57474.65,443,0
26,48121.39,96375.44,734,0
54,60762.26,180822.68,385,0
50,85277.16,111980.4,643,0
68,53528.97,152727.85,593,0
59,25089.02,69918.79,542,0
61,52809.43,27920.43,331,0
41,28850.16,46889.92,690,0
32,28029.91,82485.31,576,0
71,24801.22,18794.45,831,1
49,18851.98,35243.05,453,0
49,36916.67,108807.96,682,0
41,86201.63,162812.34,367,0
58,151485.02,147627.95,513,1
69,36798.32,71957.57,675,0
66,84377.22,85313.93,512,0
66,40243.7,72408.91,378,0
75,1200000.0,14712.46,680,1
69,69596.61,140147.16,357,0
29,55127.67,98787.4,325,0
56,121662.95,285957.02,746,0
19,22757.74,47262.17,365,0
20,198395.21,371795.74,553,0
66,108646.92,241679.33,343,0
54,48583.45,41774.71,396,0
66,42221.34,83952.88,526,0
73,34272.38,31882.79,735,0
34,51785.54,145714.45,678,0
66,44713.55,29995.43,477,0
19,63379.62,99882.29,726,0
19,42311.6,94756.57,606,0
45,99457.12,163612.48,803,0
71,52183.57,38106.43,567,1
40,43113.5,81202.02,307,0
54,81809.06,172132.79,807,1
49,21779.8,49211.04,775,0
50,58133.31,83313.73,596,0
18,49651.59,94792.33,463,0
36,24211.3,39384.91,784,1
19,20863.33,45484.98,371,0
70,81240.77,159141.93,537,0
61,79331.88,143939.01,403,0
43,53438.1,60054.32,509,0
49,115650.6,58408.91,767,1
23,61113.26,57153.37,753,1
49,91574.0,72587.51,567,1
72,60485.7,98150.87,685,0
21,42706.02,86720.79,686,0
72,28889.53,29834.57,558,0
28,36253.16,103236.05,582,0
73,43106.92,22273.58,339,0
34,96913.74,235573.31,785,0
55,72038.77,148616.85,519,0
41,57824.02,82913.11,428,0
22,75735.7,47427.39,819,1
69,63811.7,132008.31,559,0
51,55880.39,81810.78,665,0
23,23171.31,65822.0,843,0
39,86645.36,160725.0,823,1
28,38977.67,111052.39,315,0
65,84480.0,88806.16,428,0
33,88663.64,205195.57,408,0
50,35065.76,71643.64,832,0
26,78814.95,185098.54,568,0
23,40925.4,42426.12,461,0
33,41047.44,88764.53,559,0
46,55755.79,97299.49,401,0
20,56513.58,133206.04,805,0
37,49974.88,65847.48,546,0
53,25156.11,68553.98,836,0
36,46132.67,32788.95,430,0
43,153160.15,385653.16,652,0
20,12185.45,32331.64,495,0
36,75725.5,192579.85,681,0
37,83163.39,148181.85,526,0
49,24855.3,39668.12,775,0
24,38765.29,115933.64,776,0
69,950000.0,31889.58,564,1
58,123869.35,231287.61,671,0
50,85094.07,185223.31,785,1
57,87178.47,196340.66,733,0
56,52068.93,52592.83,510,0
35,94470.79,201693.74,676,0
57,48819.33,124290.31,694,0
18,96720.32,60454.69,749,1
28,45508.38,126458.84,663,0
45,34904.78,20026.97,756,1
74,121233.67,168506.02,525,0
42,48512.44,26174.06,430,0
67,31275.8,21669.85,775,1
40,31106.84,86412.34,576,0
48,31154.4,43215.89,455,0
47,74773.68,116791.16,517,0
59,46656.55,48446.34,489,0
52,154659.23,308195.55,716,0
24,88706.56,176260.64,845,1
33,55746.45,79745.36,340,0
43,98908.33,131803.98,606,1
65,38263.29,103785.77,637,0
74,19391.83,28277.37,613,0
69,29887.88,51818.19,374,0
66,52765.03,63753.97,578,0
19,43858.74,108196.16,475,0
18,74028.67,110570.73,572,0
65,46059.67,82171.73,588,0
29,71254.79,80759.68,571,0
22,103827.47,308279.21,365,0
54,45988.75,56508.19,782,1
49,64703.63,157026.42,547,0
72,20386.06,31980.41,455,0
26,46076.25,46792.44,346,0
58,26476.71,66173.17,753,0
52,52712.79,70319.76,500,0
36,55160.36,146891.12,423,0
65,55068.78,153539.62,300,0
33,38558.76,102163.74,490,0
20,154698.67,90888.53,815,1
37,26003.57,64188.09,741,0
41,25220.87,38546.28,442,0
71,112138.41,301013.95,490,0
73,34470.54,72211.85,832,1
50,30566.34,78986.72,526,0
41,155042.72,271104.5,612,0
69,80246.74,147458.49,601,0
28,36416.15,31353.18,759,1
66,54652.7,134443.92,700,0
25,129694.33,200828.3,850,1
53,69272.99,121241.61,692,0
55,93253.25,229658.92,506,0
57,73306.28,146400.97,509,0
37,78051.7,78266.09,414,0
52,50004.63,98788.23,550,0
65,49299.75,74890.37,518,0
42,56023.43,93772.79,706,0
52,70772.54,40395.42,742,1
42,42546.05,43612.82,653,0
46,52105.56,62661.9,849,1
35,41974.9,95803.52,441,0
63,51939.89,27462.24,800,1
35,26225.88,39914.29,846,1
19,180410.26,500000.0,841,0
71,33980.09,26494.33,806,1
52,40915.72,73282.55,580,0
33,32544.63,80265.03,723,0
58,66692.94,190496.93,569,0
53,44444.6,105197.77,453,0
50,30275.57,69676.61,382,0
21,68080.2,174708.78,725,0
50,72825.73,117650.19,574,0
31,47408.74,119214.55,583,0
38,35178.38,18289.63,472,0
65,146610.25,412180.45,626,0
37,58106.56,93450.82,362,0
73,25925.06,48828.57,372,0
25,99411.22,113050.99,674,1
24,31955.92,75298.59,807,0
20,193095.31,133542.69,697,1
34,51012.65,136794.99,419,0
50,81361.54,209122.93,736,0
65,17326.48,18022.14,764,1
29,25794.84,65088.39,585,0
68,95504.61,235504.28,564,0
39,57463.63,119555.47,619,0
72,136107.22,195150.59,675,0
39,62479.11,73647.06,388,0
63,52714.62,56903.27,502,0
47,115472.42,149712.58,633,1
55,81232.32,224111.54,521,0
55,44438.85,30845.09,340,0
62,28366.04,72962.51,367,0
68,14975.82,20550.2,813,1
71,39386.06,71052.39,426,0
25,27087.63,67345.65,554,0
44,179665.55,487062.76,315,0
44,35412.3,48229.91,776,1
51,34931.54,57798.03,361,0
38,22911.12,35198.12,731,0
47,42909.19,22876.07,567,1
50,35162.4,43596.35,334,0
45,116875.52,192607.71,793,1
64,53329.13,81472.73,768,1
50,48804.02,112484.63,624,0
22,45828.6,67001.83,603,0
65,72626.67,125167.79,575,0
36,39098.36,61541.67,500,0
21,68432.49,160923.48,744,0
52,109862.51,291952.03,623,0
66,61699.89,112893.7,334,0
34,43266.52,107023.21,781,0
61,30432.62,37796.3,779,0
45,42720.66,79179.5,364,0
47,64960.81,88546.45,307,0
46,22782.23,34982.17,600,0
63,74292.95,173179.45,642,0
70,54382.97,147060.05,730,0
23,45497.17,36567.83,723,1
52,35252.56,73557.92,631,0
58,38631.03,75537.55,737,1
54,66082.09,52603.83,473,0
41,45976.89,47344.05,826,1
46,38155.68,48744.12,325,0
66,61962.32,56839.75,705,1
63,63202.23,70111.73,531,0
70,26249.77,30686.03,832,1
48,65234.28,87360.74,849,1
52,171244.75,406445.33,804,0
50,61995.09,119636.91,478,0
69,20962.63,62167.11,431,0
38,53566.96,82323.82,754,1
49,19625.64,46800.54,647,0
40,238872.65,500000.0,839,0
50,149917.04,329434.63,705,0
20,35137.73,53748.84,375,0
35,15949.24,38022.77,791,0
42,31596.9,31886.58,493,0
59,44779.45,59058.74,461,0
48,20314.05,37920.51,646,0
71,47357.89,91804.38,660,0
75,44632.19,24786.65,386,0
20,52186.41,149398.49,561,0
57,54985.38,123253.48,513,0
63,30248.18,52609.43,561,0
41,31993.66,90632.21,582,0
67,50151.12,80128.39,766,1
49,35757.09,105522.36,679,0
144,77168.56,137414.97,661,0
39,49908.53,39213.85,748,1
40,124554.87,300426.65,740,0
19,73883.23,162339.52,392,0
44,85123.37,207059.78,723,0
59,52380.15,150781.77,441,0
19,53033.59,129466.83,590,0
43,116501.6,236305.03,731,0
34,40572.82,107245.0,348,0
57,64433.55,140665.91,601,0
50,42910.9,65237.35,489,0
26,42859.47,116322.73,435,0
60,27324.85,28820.92,703,0
71,33817.81,77327.91,640,0
65,30818.34,83329.98,617,0
56,65985.11,153632.56,662,0
46,82462.83,184979.68,681,0
59,46752.51,111345.59,532,0
72,54984.9,91420.0,643,0
43,45422.57,121978.97,848,0
52,32683.06,32963.84,828,1
67,75442.91,61747.46,482,1
42,67932.33,82454.36,340,0
41,19029.14,34803.23,850,1
30,42550.44,75586.79,696,0
75,31539.19,80472.16,793,0
24,40317.09,60936.12,632,0
74,35058.88,59980.87,426,0
53,2300000.0,25548.71,300,1
62,41566.2,63361.36,467,0
37,41127.39,87166.86,318,0
18,85279.91,45946.33,631,1
25,64769.45,77866.15,755,1
63,34477.17,35162.95,408,0
33,37131.71,22463.33,567,1
31,62686.2,106450.58,744,0
29,62643.16,59780.88,539,1
68,36246.93,85459.52,600,0
40,43608.38,114246.1,402,0
32,123426.73,230062.86,549,0
45,36560.58,108009.77,752,0
51,127440.17,207242.75,819,1
19,85121.38,151807.21,452,0
49,116158.18,345343.42,473,0
40,35791.44,38614.35,642,1
39,45058.73,128704.18,730,0
68,39160.27,23773.96,623,1
42,86109.64,139150.35,719,0
75,36907.06,24912.59,784,1
39,70658.08,164144.86,711,0
75,68813.12,139072.85,383,0
75,47857.6,108473.35,412,0
39,93838.44,134770.86,631,0
66,51732.42,73651.7,677,1
69,74387.47,45621.7,340,0
59,38278.68,52627.91,404,0
23,34141.93,96390.22,501,0
32,70655.61,102314.01,749,1
71,60804.56,156779.66,565,0
60,55362.28,144263.8,509,0
54,41280.93,59159.81,417,0
50,106362.12,221230.19,676,0
25,28048.97,20712.17,850,1
70,27291.44,20719.57,839,1
61,78518.01,48810.26,383,0
61,75361.23,147145.64,753,0
22,58505.81,91571.98,813,1
56,42447.53,79380.31,686,0
21,63020.23,113605.5,649,0
23,115892.13,159410.5,595,0
62,172434.56,378266.86,557,0
49,21413.85,51313.04,380,0
69,39756.95,21332.41,567,1
47,38526.95,39224.51,718,1
64,110554.04,252404.79,534,0
52,14176.66,20790.79,610,1
72,63380.88,136662.49,656,0
57,43113.65,58953.89,512,0
69,111196.74,164225.12,348,0
33,103830.95,93104.92,426,0
30,58850.37,67417.66,522,0
67,22250.92,44802.87,578,0
59,36792.72,58239.48,707,0
47,38863.25,94661.43,804,0
36,25254.83,66457.13,593,0
34,87316.27,161894.5,576,0
73,23701.34,56780.54,737,0
36,130962.17,165963.28,406,0
45,130798.25,201092.89,719,1
75,40435.76,92272.15,728,0
72,57771.32,84665.6,674,0
43,47280.74,93202.74,372,0
54,76950.1,74136.18,329,0
43,92719.93,185386.84,487,0
70,55770.4,148002.6,663,0
40,61979.46,165584.28,750,0
26,35943.3,83059.96,494,0
29,60983.4,144188.14,455,0
70,53176.99,100760.75,471,0
18,31073.25,60955.48,340,0
75,48677.95,40603.57,362,0
75,40473.74,65148.48,322,0
18,36143.49,58803.32,659,0
64,27632.68,80031.0,374,0
51,50576.96,79796.13,417,0
49,33182.01,62161.73,679,0
71,38732.95,71002.47,589,0
65,83915.21,175542.58,739,0
42,67242.32,159403.43,306,0
144,30049.96,31931.23,495,0
62,58451.09,106486.83,720,0
70,52385.77,134358.73,492,0
18,114788.67,190295.15,447,0
33,97887.34,117087.34,501,0
56,22768.33,48650.74,743,0
22,75400.1,192980.4,718,0
39,92281.47,60707.43,726,1
46,64840.11,158338.0,778,0
72,41452.1,105873.64,774,0
20,163848.41,270973.7,425,0
29,67894.12,200848.73,694,0
43,131698.72,324870.55,624,0
33,96349.67,234530.16,691,0
68,61825.26,146500.92,739,0
54,36685.97,32155.99,503,0
39,48433.53,50519.91,785,1
74,43872.53,72827.33,330,0
46,26708.59,30982.26,687,0
31,67855.84,104369.24,733,0
45,107331.4,292065.94,675,0
22,42228.4,108139.21,643,0
64,144614.7,300089.92,742,0
66,22498.61,59515.58,374,0
47,83048.64,204252.4,454,0
63,113069.74,177797.91,729,1
69,44266.56,44384.43,662,1
22,44666.17,79751.57,747,0
29,82568.42,193257.35,533,0
33,63132.79,100447.36,561,0
43,18057.1,39128.47,424,0
43,32154.68,23660.01,544,0
65,48689.82,115395.45,841,0
38,24714.64,62572.12,784,0
56,38673.61,87676.74,421,0
53,25025.67,73028.88,424,0
50,40737.92,104559.18,848,0
47,41427.02,114244.72,469,0
54,58447.1,165634.85,423,0
40,46822.56,117214.18,334,0
75,63031.81,137765.3,386,0
27,59383.52,30540.73,500,1
71,82098.09,136657.55,668,0
22,75878.72,146287.02,376,0
53,71974.12,90692.84,358,0
51,231522.82,299882.5,730,1
69,58320.06,169297.2,799,0
48,179294.64,489344.76,408,0
27,60241.04,158009.1,577,0
75,47031.58,71254.23,367,0
36,40676.97,21731.52,368,0
75,104282.92,73055.99,464,1
49,111329.74,142556.72,788,1
18,66164.01,35686.04,604,1
73,86402.63,46905.78,664,1
22,25884.25,72256.08,678,0
62,22597.85,51193.09,642,0
21,91414.87,116315.37,653,1
33,46009.09,38261.69,715,1
41,71299.97,126849.02,408,0
33,34247.06,17581.26,796,1
72,112251.17,319470.69,640,0
19,22692.52,34879.26,682,1
66,24519.09,36921.77,832,1
45,100927.31,149017.55,599,0
49,13294.15,8951.23,438,0
44,59235.98,124147.1,658,0
37,46459.54,108367.29,798,0
41,33928.95,74315.05,684,0
29,44357.19,37530.12,579,1
67,32088.03,62478.61,782,0
52,105992.96,203899.85,410,0
50,120843.13,322775.26,438,0
50,34791.6,50371.94,734,1
68,56261.31,80381.38,808,1
60,25272.24,51715.03,572,0
54,83828.31,174587.69,398,0
29,82743.82,138448.04,403,0
20,42292.66,67991.73,513,0
18,49436.41,85790.43,464,0
50,46775.61,124077.61,819,0
57,21824.12,36073.47,583,0
27,106191.79,302628.49,816,0
60,33407.09,58796.79,463,0
61,33520.93,96305.7,363,0
46,45469.18,117405.06,390,0
30,80641.95,113388.9,416,0
29,36473.76,96987.51,566,0
48,18470.08,14317.23,439,0
63,31460.91,88487.51,545,0
19,60601.21,125996.52,694,0
68,146513.84,93179.41,786,1
67,26109.12,55107.0,775,0
52,25635.9,75257.25,816,0
40,23010.42,15520.56,483,0
34,21625.7,40801.62,319,0
43,89576.27,212249.71,823,0
25,103501.8,261408.96,828,0
46,53577.15,82217.82,446,0
43,38798.76,39202.91,603,0
27,120038.99,72726.31,527,1
43,53474.17,104238.02,401,0
51,84517.88,137956.64,716,0
68,37864.74,108742.26,515,0
58,50117.32,32652.05,706,1
24,26405.54,58448.36,698,0
21,67145.99,37763.95,798,1
75,53931.44,50079.95,764,1
70,31342.13,51211.39,381,0
67,31553.71,51659.14,664,0
62,109971.8,243505.21,462,0
28,131378.06,364644.08,347,0
46,44065.5,92430.92,810,1
73,50709.92,146239.17,628,0
53,59877.57,161911.29,415,0
42,52786.77,103528.03,636,0
38,21223.22,54850.98,446,0
74,60714.35,127891.38,622,0
53,17258.42,12018.67,742,1
27,33984.43,79911.4,312,0
54,63114.99,46532.86,793,1
26,66170.97,131363.07,586,0
41,32694.54,73778.52,413,0
52,38979.13,25972.53,779,1
66,36427.59,39232.03,321,0
52,46563.76,129874.75,648,0
65,48368.44,98709.65,619,0
53,68475.69,76399.36,425,0
35,37856.26,84294.51,576,0
66,59082.98,117689.8,503,0
56,63165.14,110787.82,493,0
49,54130.05,159167.64,846,0
41,43053.43,95089.28,585,0
40,53654.61,77187.68,356,0
49,71386.93,178480.44,602,0
54,74577.37,202213.43,462,0
29,121502.04,98787.4,318,0
66,29881.26,29922.57,669,0
72,39339.97,40935.89,563,1
30,21878.63,48746.24,412,0
40,78081.21,156755.75,787,0
42,41470.86,84910.71,626,0
52,54344.33,154986.39,841,0
58,36236.81,88409.8,364,0
47,41632.98,34132.48,591,1
34,90363.44,123686.56,324,0
66,69363.54,110182.89,848,1
37,46362.16,69075.17,300,0
65,71962.97,156395.07,848,0
42,72762.07,198621.0,440,0
39,40307.27,50993.89,487,0
30,23516.56,44203.91,427,0
36,31270.15,77347.45,500,0
66,25077.74,38633.38,426,0
53,87747.38,80753.51,556,1
29,95708.04,161495.59,846,1
58,108357.04,69137.89,493,1
36,17858.27,51002.49,403,0
29,83759.13,57546.96,834,1
26,148167.05,236495.63,564,0
24,85476.25,155968.79,683,0
45,16720.41,49546.9,559,0
31,118675.62,108594.67,713,1
48,50053.34,39345.87,657,1
69,43643.1,22771.46,374,0
36,61423.49,54601.1,654,1
75,29012.92,29540.45,487,0
64,49089.05,101931.06,589,0
33,110217.93,115648.03,344,0
70,66916.34,36891.11,382,0
22,50473.35,129542.17,422,0
52,51267.08,72491.1,657,0
29,27154.63,37588.58,827,1
42,45479.0,57130.61,365,0
69,21651.98,63622.91,674,0
38,81733.6,75627.17,461,0
53,16434.61,45122.79,679,0
70,75165.69,183555.25,657,0
40,79993.88,55291.76,487,0
33,94786.5,281214.75,621,0
74,51196.66,60330.91,749,1
56,77521.78,57866.7,773,1
62,45257.64,116460.82,312,0
70,27082.73,61388.12,483,0
59,105384.01,215304.49,410,0
75,46702.69,41563.16,807,1
56,24227.52,41095.69,589,0
31,38816.18,95153.61,594,0
48,39590.23,49846.47,750,1
75,61749.95,78992.05,514,0
22,158502.2,80495.7,326,1
52,63653.48,59554.74,530,0
40,54362.07,146153.19,620,0
46,167357.6,268502.88,532,0
60,79973.19,236767.54,736,0
28,55665.99,82901.68,832,1
35,38572.47,88252.5,702,0
64,57417.25,69176.16,352,0
29,47420.26,66840.0,612,0
26,51313.91,50124.19,580,0
27,94579.99,129352.88,330,0
75,37415.45,69895.56,636,0
61,63371.55,188811.25,482,0
34,78784.38,170213.98,322,0
55,35205.01,35138.65,843,1
24,32490.05,19897.03,745,1
63,45470.95,37099.35,373,0
30,38916.95,74190.81,309,0
57,87218.03,210448.45,783,0
59,29706.34,84694.21,755,0
26,50728.12,27370.76,459,1
67,175084.53,316360.3,313,0
44,60266.29,101076.72,477,0
75,65489.5,140156.53,711,0
19,87582.92,166315.33,352,0
22,38891.28,86245.23,707,0
46,28546.52,61238.17,321,0
54,53543.82,42435.05,329,0
55,55977.32,139903.83,559,0
36,21826.82,17637.85,504,0
25,59132.5,132830.9,358,0
65,83694.22,128919.52,770,0
62,31055.34,55422.19,765,0
18,60948.1,168109.79,311,0
39,76583.11,208666.71,589,0
69,65731.87,167263.98,653,0
34,68906.32,122334.27,374,0
24,43373.32,101519.58,740,0
42,27896.26,49717.9,540,1
62,39199.79,104820.85,453,0
21,36569.56,55108.12,395,0
53,47092.57,137773.47,593,0
23,84680.06,239712.9,508,0
48,25440.05,59886.04,642,0
36,52687.05,63147.52,387,0
61,28804.85,23883.08,689,1
71,33859.56,89279.48,624,0
56,64820.06,59197.29,456,0
44,27038.78,71264.82,436,0
27,70765.17,122205.25,727,0
43,24932.26,37807.08,751,1
36,68424.77,188713.94,440,0
56,22589.36,45396.2,382,0
20,35993.5,69882.64,476,0
62,126531.58,240019.63,497,0
30,115182.51,164471.84,720,1
67,39884.29,98279.18,700,0
45,59574.34,67437.93,770,1
75,89503.59,254837.97,517,0
37,68916.31,188483.55,474,0
45,42756.13,57451.45,322,0
25,33714.47,78340.94,534,0
58,75663.53,146261.99,312,0
56,86279.88,115970.79,400,0
18,115595.34,343468.91,835,0
20,21086.23,11873.51,822,1
30,26197.98,29646.03,751,1
45,87637.28,157763.34,730,0
74,22566.79,40730.41,832,0
66,91060.1,179600.81,592,0
42,44025.92,104746.04,400,0
73,37780.3,77778.1,801,0
50,54323.61,108685.45,603,0
55,25017.12,15855.51,839,1
70,74013.84,106678.05,654,0
23,114098.63,123242.42,602,1
75,75757.15,88137.78,795,1
61,43336.29,81725.47,526,0
62,22719.57,22691.48,535,0
49,23160.56,28600.35,754,1
62,25214.6,27552.29,312,0
64,48720.78,139889.89,509,0
38,51880.59,148464.84,696,0
33,75676.41,153233.67,399,0
71,19969.98,56141.73,330,0
38,1800000.0,232723.63,827,1
28,69369.54,136995.81,628,0
54,41630.23,21484.86,465,0
53,27041.26,65745.17,758,0
52,91543.57,206542.51,399,0
36,42190.61,85990.13,472,0
37,48532.58,116529.67,461,0
74,59385.54,105843.16,562,0
35,31051.44,70182.72,573,0
64,42570.2,120811.25,302,0
58,75558.2,108766.97,327,0
66,71829.32,163074.44,625,0
31,72153.68,121883.41,448,0
32,27512.9,60143.17,839,1
48,43551.95,104839.71,787,0
18,40207.27,24672.44,737,1
70,60632.69,128329.15,364,0
71,57978.58,61854.62,655,1
71,52982.33,115240.87,832,1
20,168192.93,281021.03,551,0
33,42387.0,103164.95,534,0
40,39978.15,32322.42,526,1
74,27491.31,56791.71,824,0
28,22721.71,27179.19,612,1
29,26631.27,70105.62,348,0
27,34223.2,96542.23,417,0
49,94375.48,282276.65,353,0
33,49990.18,124476.48,343,0
25,53996.0,128744.57,352,0
55,46717.0,48527.37,824,1
29,58844.31,78852.42,401,0
41,98818.1,164453.71,697,0
45,18088.55,44017.64,437,0
70,90144.45,251269.96,686,0
25,13939.49,13561.0,410,0
75,49716.96,139501.74,316,0
45,146671.94,328407.52,481,0
53,68894.32,139643.74,835,0
43,59073.01,59049.57,840,1
